部分,考试类型,问题类型,问答对,筛选后三元组,index,同类问题,不同问题,index
研考成考,成人高考,考试篇,问：准考证丢失，准考证号和报名号遗忘如何查询成考成绩？答：请考生联系第一志愿院校获取准考证号信息。,"['(第一志愿院校, 提供, 准考证号信息)', '(准考证号, 用于查询, 成人高考成绩)']",909,"['""若准考证丢失且准考证号、报名号均遗忘，应如何查询成人高考成绩？""', '""成考准考证和报名号忘了怎么查成绩？""', '""考生不慎丢失准考证，同时遗忘了准考证号和报名号，导致无法登录成绩查询系统，此时应通过什么方式获取准考证信息以查询成考成绩？""', '""准考证搞丢了，报名号和准考证号也全忘了，这可咋查成考成绩啊？""']","['成考准考证和报名信息都遗失了，应该通过什么方式查询成绩？', '如果无法提供准考证号或报名号，如何获取成人高考成绩？', '考生忘记所有报名信息时，如何解决成考成绩查询问题？']",909
研考成考,成人高考,考试篇,问：对成人高考的成绩有疑义？答：考生若对本人成绩有疑问，可于规定时间登录“上海招考热线”网站进入“成绩查询”栏目，选择“20XX年上海市成人高校招生统一考试成绩复核”申请成绩复核。注：2022年成人高考成绩复核时间在11月26日9:00-16:00。,[],910,"['如何申请上海市成人高考成绩复核？具体流程和时间要求是怎样的？', '成人高考成绩复核怎么操作？', '如果对上海市成人高考成绩有疑问，应该如何申请复核？需要登录哪个网站？具体的申请时间和复核步骤有哪些注意事项？', '感觉成人高考分数不对，该去哪儿申请复查啊？有没有时间限制？']","['如何申请上海成人高考成绩复核？', '2022年上海成考成绩复核的申请截止时间是几点？', '上海成人高考成绩复核的申请途径是什么？']",910
研考成考,成人高考,考试篇,问：成绩复核什么内容？答：成绩复核只核查答题纸姓名、准考证号是否与考生本人对应，试卷有无漏评、漏阅，小题得分是否漏统，各小题得分合成后是否与提供给考生的成绩一致等，不重新评阅答卷。复核结果只向考生提供所复核科目成绩总分。不得查阅答卷。,"['(成绩复核, 核查内容, 姓名)', '(成绩复核, 核查, 准考证号)', '(成绩复核, 核查, 漏评)', '(成绩复核, 核查, 漏阅)', '(成绩复核, 核查, 小题得分漏统)', '(复核结果, 提供, 所复核科目成绩总分)', '(成绩复核, 不重新评阅, 答卷)', '(成绩复核, 不得查阅, 答卷)']",911,"['成绩复核的具体内容和范围是什么？', '成绩复核查哪些内容？', '成绩复核包括哪些检查项？是否会重新评分？复核结果如何反馈给考生？', '成绩复核到底检查啥呀？会不会重新改卷子？']","['成绩复核的主要检查项目有哪些？', '申请复核后是否会重新批改我的试卷？', '复核结果会提供哪些具体信息给考生？']",911
研考成考,成人高考,志愿篇,问：成人高考的志愿怎么填报？答：（1）志愿分两次网上填报。（2）第一次填报志愿与网上报名同时进行，考生根据自身情况填报“意向志愿”。报考高起专：考生可以填报三个专业科类相同的高职高专院校志愿。报考高起本：考生在填报三个专业科类相同的本科院校志愿后，还可以填报	三个科类相同或兼容的高职高专院校志愿。报考专升本：考生可以填报三个专业科类相同的本科院校志愿。凡报考艺术类、体育类专业的考生必须将艺术类、体育类专业填报在第一志愿。（3）第二次填报志愿在考试结束、公布考生成绩及全市录取最低控制分数线之后进行。考生须再次登录志愿填报系统，填报“正式志愿”。“正式志愿”与“意向志愿”的学习层次、科类必须相同，所报院校或专业可以不同。未在规定时间填报“正式志愿”的考生，默认其“意向志愿”为“正式志愿”。注：以当年公布文件为准。,"['(成人高校招生考试, 包含步骤, 考生填报志愿)', '(第一次填报志愿, 生成, 意向志愿)', '(高起专, 可填报, 三个专业科类相同的高职高专院校志愿)', '(高起本, 需填报, 三个本科院校志愿)', '(高起本, 可填报, 三个科类相同或兼容的高职高专院校志愿)', '(专升本, 可填报, 三个专业科类相同的本科院校志愿)', '(第二次填报志愿, 时间在, 考试结束且成绩及分数线公布后)', '(正式志愿, 需保持相同层次和科类, 意向志愿)', '(志愿填报规则, 依据, 当年公布文件)']",912,"['成人高考志愿填报的具体流程和注意事项有哪些？', '成考志愿如何填报？', '成人高考的志愿填报分为哪两个阶段？不同报考层次（高起专、高起本、专升本）的志愿数量和要求有何区别？艺术类和体育类专业填报有什么特殊规定？', '成考填志愿要分两次吗？第一次随便填，后面还能改不？']","['成人高考的志愿填报分几次进行？', '报考高起本的考生最多能填多少个本科和专科志愿？', '艺术类和体育类专业在填报志愿时有什么特别规定？']",912
研考成考,成人高考,志愿篇,问：最低控制分数线是多少？答：考生可以关注“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生最低录取控制分数线 ”有说明。,"['(上海招考热线网站, 发布, 20XX年上海市成人高校招生最低录取控制分数线)', '(研考成考, 包含, 成人高校招生考试)']",913,"['如何查询上海市成人高校招生的最低录取控制分数线？', '最低控制分数线哪里查？', '作为考生，想了解上海市成人高校招生的最低录取控制分数线，请问官方发布渠道是什么？', '上海成考的最低分数线在哪儿能查到呀？']","['上海成人高校招生的最低录取控制线在哪里查询？', '如何查看上海市成考招生的最低分数线标准？', '上海招考热线网站中哪个栏目会公布成人高校最低录取分数？']",913
研考成考,成人高考,志愿篇,问：什么是兼容？答：兼容是指科类的兼容，如41科类的专业是高起本专业，考生考试需要考4门课程，前3门课程跟51科类的高起专专业要求是一样的。这种情况下，高起本的考生，除了可以报41科类的专业以外，还可以报51科类的专业。这就是专业科类的兼容。,"['(兼容, 指, 科类的兼容)', '(41科类专业, 是, 高起本专业)', '(高起专专业, 科类, 51科类)', '(高起本考生, 可报考, 41科类专业)', '(高起本考生, 可兼容报考, 51科类专业)']",914,"['请解释“兼容”在专业科类中的定义及具体表现。', '兼容是什么意思？', '在考试科类中，41科类和51科类的兼容性如何体现？高起本考生能报考哪些专业？', '“哎，兼容这里指的是啥？为啥高起本能多报专业啊？”']","['专业科类的兼容是如何体现的？', '哪些科类的专业可以兼容？', '高起本考生能报考哪些科类的专业？']",914
研考成考,成人高考,志愿篇,问：有哪些专业可以选择？答：招生院校和招生专业请查看“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生专业目录”。注：2023年高起本：https://www.shmeea.edu.cn/download/20230829/201.pdf；2023年高起专：https://www.shmeea.edu.cn/download/20230829/202.pdf；2023年专升本：https://www.shmeea.edu.cn/download/20230829/203.pdf。,"['(上海招考热线网站, 下设栏目, 研考成考)', '(研考成考, 包含栏目, 成人高校招生考试)', '(上海招考热线网站, 发布, 上海市成人高校招生专业目录)', '(上海市成人高校招生专业目录, 包含, 招生高校)', '(上海市成人高校招生专业目录, 包含, 招生专业)', '(研考成考, 包含子类, 成人高校招生考试)']",915,"['""如何查询上海市成人高校招生的专业目录？""', '""上海成考有哪些专业？""', '""我想了解2023年上海市成人高校招生的具体专业选项，包括高起本、高起专和专升本，应该去哪里查找相关信息？""', '""上海成考能报啥专业啊？在哪儿查？""']","['如何查询上海成人高校招生的具体专业信息？', '高起本的专业目录文件在哪里下载？', '2023年上海成考不同层次（高起专、专升本等）的专业目录如何获取？']",915
研考成考,成人高考,志愿篇,问：成人高考有征求志愿吗？答：有的。,"['(成人高校招生考试, 有, 征求志愿)']",916,"['成人高考是否设有征求志愿环节？', '成考有征求志愿吗？', '在成人高考录取过程中，如果考生未被第一志愿录取，是否可以通过征求志愿补报其他院校或专业？', '哎，成人高考能填征求志愿吗？听说可以补录是真的不？']","['成人高考是否会有补录的机会吗？', '成人高考允许考生在录取后补报志愿吗？', '成人高考有没有设置志愿征集环节？']",916
研考成考,成人高考,志愿篇,问：征求志愿有降分吗？答：只有农林、水利、地质、矿业、测绘、远洋运输、社会福利类所有专业，以及专升本和高起本的公安、监狱、劳教类专业，如线上生源不足可适当降分投档，降分幅度最大不得超过20分。,"['(农林类所有专业, 允许降分投档, 降分投档)', '(水利类专业, 可降分投档, 线上生源不足时)', '(地质类专业, 适用, 降分投档)', '(矿业类专业, 适用, 降分投档)', '(测绘类专业, 生源不足时可降分投档, 最大降分20分)', '(远洋运输类专业, 适用条件, 线上生源不足时可降分投档)', '(社会福利类所有专业, 可降分投档, 线上生源不足时)', '(专升本和高起本公安类专业, 允许, 降分投档)', '(专升本和高起本的监狱类专业, 允许降分投档, 降分投档)', '(降分幅度, 最大降分不得超过, 20分)']",917,"['征求志愿是否有降分政策？哪些专业符合降分条件？', '哪些专业可降分投档？', '在征求志愿阶段，如果某些专业生源不足，是否可以降分录取？具体包括哪些类型的专业？降分幅度上限是多少？', '听说有的志愿能降分录取，具体是哪些专业啊？能降多少分？']","['哪些专业在征求志愿时可能获得降分录取？', '降分投档的最大幅度是多少？', '在什么情况下某些专业可以降分投档？']",917
研考成考,成人高考,志愿篇,问：征求志愿什么时候可以填报？在哪里填报？答：考生可在规定时间内登录“上海招考热线”网站（www.shmeea.edu.cn）首页—志愿填报—栏目选择对应栏目填报。注：2022年专升本、高起本征求志愿填报时间于12月15日9:00—22:00进行；2022年高起专征求志愿填报时间于12月27日9:00—22:00进行。,"['(征求志愿, 填报渠道, 上海市教育考试院报名网站)', '(专升本, 属于, 成人高校招生考试)', '(高起本, 属于, 成人高校招生考试)', '(高起专, 属于, 成人高校招生考试)']",918,"['征求志愿的具体填报时间及填报渠道是什么？', '征求志愿填报时间及入口？', '2022年上海地区的专升本、高起本和高起专征求志愿分别何时开放填报？填报的具体流程和网站入口路径如何操作？', '哎呀，我错过第一次志愿了！现在补填征求志愿的话，几号能填啊？还有是在那个“上海招考热线”网站填吗？']","['2022年高起专征求志愿的具体填报日期是什么时候？', '上海招考热线的志愿填报入口路径是什么？', '专升本和高起本的征求志愿填报是在哪一天的几点进行的？']",918
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：成人高考是否有新生复查？答：是的。新生入学后，各成人高校要对新生报到所需录取通知书、身份证、加分照顾和免试入学资格证明等材料与录取新生名册、电子档案逐一进行比对核查，并通过“人脸识别”等技术严防冒名顶替。对不符合报考条件或弄虚作假、违纪舞弊者，一律按有关规定取消其入学资格，并报告上海市教育考试院倒查追责；对不能通过学籍电子注册的专升本新生，必须进行第一学历复核，不能提供经教育部审定核准的国民教育系列高等学校、高等教育自学考试机构颁发的相应层次及以上毕业证书者，由招生院校取消其入学资格，并报告上海市教育考试院备案；对于非本市常住户口的新生，要核验其在本市工作的单位证明，未提交或未核验通过的新生不予注册电子学籍，取消入学资格。,"['(成人高校招生考试, 包含环节, 新生复查)', '(新生复查, 需要材料, 录取通知书)', '(新生复查, 需要提供材料, 居民身份证)', '(成人高考新生复查, 核查材料包括, 免试入学资格证明)', '(新生复查, 采用技术, 人脸识别)', '(冒名顶替, 处理结果, 取消入学资格)', '(专升本新生, 需进行, 第一学历复核)', '(第一学历复核, 依赖材料, 毕业证书)', '(高等教育自学考试机构, 颁发, 毕业证书)', '(非本市常住户口新生, 需要提供, 在本市工作的单位证明)', '(非本市常住户口新生未提交或未通过工作证明核验, 导致, 取消入学资格)']",919,"['成人高考的新生入学后是否需要接受复查？具体流程包括哪些内容？', '成考有新生复查吗？', '成人高考录取的新生入学后，学校会采取哪些核查措施来确保资格真实性？若发现资格不符会如何处理？', '成考入学后真的会复查吗？具体查什么啊？会不会被取消资格？']","['成人高考新生入学时需要核验哪些材料和身份信息？', '专升本新生在入学后需通过哪些资格审查？', '非上海户籍的成人高考新生需满足什么条件才能注册学籍？']",919
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,"问：报名后考生个人身份信息如姓名发生变更,怎样修改？答：报名完成后至录取结束阶段中不能变更个人身份信息。如确实发生信息变更的，在招生院校完成新生报到后，由招生院校进行变更。","['(信息变更, 执行变更, 招生高校)']",920,"['考生报名后若需修改个人身份信息如姓名，应如何进行变更操作？', '报名后如何修改姓名信息？', '考生在报名完成后至录取结束期间，因特殊原因需变更姓名等个人身份信息，具体修改流程和要求是什么？', '报完名之后要是改名字了，该去哪儿改信息啊？']","['考生在录取结束前发现姓名变更了，能修改报名信息吗？', '如果报名后需要更改姓名，应该通过什么渠道处理？', '录取期间身份信息发生变动，什么时候可以申请修改？']",920
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：怎么了解录取情况？从哪些渠道查询？答：成人高考相关信息可通过“上海招考热线”网站（www.shmeea.edu.cn）和“上海国子监发布”微信公众号查询。,"['(成人高校招生考试, 查询渠道, 上海招考热线网站)', '(成人高校招生考试, 查询渠道, 微信公众号上海国子监发布)', '(上海国子监发布, 是, 微信公众号)']",921,"['如何查询成人高考录取结果？有哪些官方渠道可供使用？', '成人高考录取结果查询渠道？', '作为考生，想要了解成人高考的录取进展和最终结果，应该通过哪些具体途径进行查询？例如官方网站或线上平台有哪些？', '哎，成人高考录取结果出来之后，该上哪儿查啊？有没有靠谱的网站或者公众号？']","['上海地区成人高考录取信息有哪些官方查询途径？', '如何查找上海成人高考的录取结果？', '是否可以通过微信公众号查询上海成考相关资讯？']",921
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：录取通知书什么时候发？向哪里咨询？答：录取通知书一般在录取结束后由录取院校发放，具体请咨询录取院校。,"['(录取通知书, 发放者, 录取院校)', '(录取通知书, 发放时间, 录取结束后)']",922,"['录取通知书的发放时间是什么时候？如需咨询应联系哪个部门？', '录取通知书何时发？咨询哪里？', '考生在录取结束后多久能收到录取通知书？若需要确认具体发放进度，应通过什么渠道或联系哪一机构进行询问？', '录取通知啥时候发啊？要是想打听该找谁问？']","['录取通知书何时发放？需要联系哪里获取信息？', '如果想知道录取通知书的寄送时间，应该向谁咨询？', '录取结束后，多久能收到通知书？如何查询相关安排？']",922
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：成人高考可以取得学位证书吗？需要符合哪些条件？答：具体的学位授予政策由各成人高校自行制定，请咨询相关高校。,"['(成人高校, 制定, 学位授予政策)']",923,"['成人高考是否可以申请学位证书？申请条件有哪些？', '成考能拿学位吗？条件？', '通过成人高考完成学业后，能否获得学位证书？需要满足哪些具体条件？不同高校的申请流程是否一致？', '哎，成人高考完了能拿到学位证不？得满足啥条件啊？']","['成人高校的学位证书授予条件由谁决定？', '不同成人高校的学位申请条件是否一致？', '如何查询某所成人高校的学位授予具体要求？']",923
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：成人高考往年考试成绩能够查询吗？答：可以，从2008年起参加的成人高考。考生可尝试通过“一网通办”或“随申办”小程序在线办理。具体操作办法见“上海招考热线”网站（www.shmeea.edu.cn）—首页—信息公开—公开指南栏目“上海市教育考试院部分考试申请办理成绩证明须知”。,"['(成人高校招生考试, 成绩可查询起始年份, 2008年)', '(成人高校招生考试, 办理渠道, 随申办小程序)', '(成人高校招生考试, 具体操作办法参见, 上海招考热线网站)', '(上海招考热线首页, 包含栏目, 信息公开)', '(上海招考热线公开指南栏目, 包含, 上海市教育考试院部分考试申请办理成绩证明须知)']",924,"['成人高考往年考试成绩是否支持查询？具体查询方式及时间范围是什么？', '如何查询成人高考历年成绩？', '请问成人高考往年的考试成绩现在是否仍然可以查询？具体而言，2008年之后的成绩可以通过哪些线上渠道办理查询？操作步骤是什么？', '我之前参加的成人高考成绩还能查到吗？该怎么查啊？']","['如何查询2008年之后的成人高考历史成绩？', '上海地区的成人高考成绩证明可以通过哪些线上渠道办理？', '在哪里能找到上海市教育考试院申请成绩证明的操作指南？']",924
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：报考需要满足哪些条件？答：考生的报名条件、报考语种和学科（专业学位类别）须符合《关于做好2023年同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试工作的通知》（学位办〔2023〕4号）有关规定。,[],925,"['""2023年同等学力全国统考的报考条件具体有哪些规定？""', '""报考条件是什么？""', '""请问2023年同等学力申硕考试的报名资格包括哪些方面？是否需要满足特定语种或学科要求？具体依据什么文件？""', '""想报这个考试的话，得满足啥条件啊？有没有文件要求？""']","['报考资格需要符合哪些具体规定？', '哪些方面的要求需参照学位办2023年4号通知？', '2023年同等学力考试报考条件的依据是什么？']",925
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：什么时候可以报名考试？答：具体时间信息请以中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的公告为准。注：2023年度考试报名时间在3月13日-26日。,[],926,"['请问考试报名的具体时间及官方信息发布渠道是什么？', '考试报名时间？', '申请硕士学位的同等学力人员参加全国统一外国语和学科综合水平考试的报名时间如何查询？2023年的报名时段是什么时候？', '考试报名时间在哪儿看啊？去年是3月中旬报名的对吧？']","['哪里能查询到同等学力全国统考的最新报名公告？', '2023年的同等学力考试报名是什么时候进行的？', '报名参加外国语水平考试的时间段是什么？']",926
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：考生怎样报名？答：满足报考条件的考生需在报名开放时间登录中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/）进行报名。,"['(考生, 需满足, 报考条件)']",927,"['符合报考条件的考生应如何进行报名？', '考生报名步骤？', '满足报考条件的考生需在什么时间、通过什么官方网站完成报名流程？', '考生想报名的话，具体该咋操作啊？得去哪个网站？']","['全国同等学力考试的报名入口是哪个网站？', '符合报考条件的考生应该如何注册考试？', '如何在线报名全国同等学力外国语水平考试？']",927
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试安排在什么时间？答：考生可关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—研考成考—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试栏目发布的“20XX年同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试即将举行”公告。具体以准考证信息为准。注：2023年考试时间在5月21日。,"['(上海招考热线网站, 包含栏目, 研考成考)', '(上海市教育考试院报名网站, 发布考试信息, 同等学力人员申请硕士学位全国统一考试)', '(同等学力人员申请硕士学位全国统一考试, 考试时间, 2023年5月21日)', '(同等学力全国统一考试2023年考试时间, 考试日期, 5月21日)', '(同等学力人员申请硕士学位全国统一考试, 考试时间依据, 准考证上的信息)']",928,"['请问如何查询考试的具体时间安排？', '考试时间查询方式？', '关于同等学力人员申请硕士学位的外国语和学科综合水平全国统一考试，具体的时间安排应通过哪个官方网站查询？请提供详细的查询步骤及往年考试时间示例。', '考试时间去哪儿查呀？是不是得看上海招考热线的公告？']","['在哪里能查询到同等学力全国统考的具体考试时间？', '2023年的同等学力考试是什么时候举行的？', '如何确认考试的具体日期？准考证上会有相关信息吗？']",928
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：准考证什么时候下载？答：请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）栏目发布的信息。,"['(中国教育考试网, 发布考试信息, 同等学力人员申请硕士学位全国统一考试)']",929,"['准考证的下载时间是什么时候？', '准考证下载时间？', '参加同等学力全国统一考试的考生应在何时下载准考证？如何获取相关通知？', '准考证啥时候能下载啊？']","['准考证下载时间需要通过什么渠道查询？', '在哪里能获取全国统考准考证下载的通知？', '考生应如何查询准考证下载的相关信息？']",929
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试有哪些科目？答：外国语水平考试和学科综合水平考试。,"['(同等学力人员申请硕士学位全国统一考试, 包含科目, 外国语水平考试)', '(同等学力人员申请硕士学位全国统一考试, 包含科目, 学科综合水平全国统一考试)']",930,"['""考试包含哪些科目？""', '""考试科目有哪些？""', '""国家统一组织的在职研究生考试通常包括哪些必考科目？能否列举具体名称？""', '""考试都考啥科目啊？是不是有外语和专业课？""']","['考试包括哪些内容？', '考试的组成部分有哪些？', '考试分为哪两个部分？']",930
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：入场证件有什么要求？答：考生须凭准考证和网上报名所使用的有效身份证件，验证通过后入场参加考试。,"['(研考成考, 包含, 同等学力人员申请硕士学位全国统一考试)', '(全国统一考试, 分为, 外国语水平和学科综合水平)', '(申请硕士学位, 需要通过, 同等学力人员申请硕士学位全国统一考试)', '(入场证件要求, 需要, 准考证和有效身份证件)']",931,"['""参加考试需要携带哪些证件作为入场凭证？""', '""入场需要什么证件？""', '""考生进入考场时必须提供哪些材料？是否需要验证流程？""', '""考试进场要带啥证件啊？身份证和准考证够吗？""']","['参加考试需要携带哪些证件进行验证？', '进入考场需要准备什么身份证明材料？', '考生入场时必须出示什么凭证？']",931
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：开考 15 分钟后不得入场。,"['(同等学力人员申请硕士学位全国统一考试, 迟到禁止入场时间, 开考15分钟后不得入场)', '(同等学力人员申请硕士学位全国统一考试, 迟到入场截止时间, 开考15分钟后不得入场)', '(考场, 禁止进入时间, 开考15分钟后)', '(考生, 参加, 同等学力人员申请硕士学位全国统一考试)', '(考生, 参加, 同等学力人员申请硕士学位学科综合水平全国统一考试)']",932,"['""考生迟到后，最晚允许进入考场的时间是如何规定的？""', '""迟到考生最晚入场时间？""', '""根据考场规则，如果考生因意外情况未能按时到达考场，最晚在考试开始后的多长时间内仍可进入？超过该时限会如何处理？""', '""要是考试迟到了，最晚几点前还能进去啊？过了点就不让进了吗？""']","['考生迟到多久后将无法进入考场？', '考试开始后，最晚允许迟到考生入场的时间是多久？', '考场禁止迟到的考生进入的具体时间限制是什么？']",932
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试可以携带计算器吗？答：部分有需求的科目可携带的考试用品为：绘图仪器、无存储和编程功能的电子计算器等。,"['(同等学力人员申请硕士学位全国统一考试, 属于, 研考成考)', '(学科综合水平全国统一考试, 属于, 同等学力人员申请硕士学位全国统一考试)']",933,"['考试中是否允许携带计算器？具体哪些科目对此有规定？', '考试能用计算器吗？', '在本次考试中，考生是否被允许携带计算器？如果有，哪些特定科目可以携带？对计算器的类型和功能有什么限制？', '哎，考试能带计算器不？是不是有的科目可以带啊？']","['哪些科目允许携带绘图仪器和电子计算器？', '考试中允许使用的计算器需要具备什么功能？', '哪些电子设备在考试中是被明确许可的？']",933
自学考试,自学考试,结果篇,问：成绩什么时候能查询？答：请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['(成绩查询时间, 发布渠道, 中国教育考试网)']",934,"['考试成绩何时可以查询？', '成绩查询时间？', '请问考试成绩的具体查询时间是什么时候？是否需要通过特定渠道获取通知？', '哎，成绩啥时候能查啊？得去哪个网站看通知不？']","['考试成绩的查询渠道在哪里查看？', '如何获取同等学力全国统考的成绩发布时间？', '考生应该通过什么途径了解成绩公布信息？']",934
自学考试,自学考试,结果篇,问：在上海教育考试院能查询成绩吗？答：考试成绩在中国教育考试网查询。请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['(中国教育考试网, 包含子网站, 同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网)']",935,"['在上海教育考试院官方网站能否查询考试成绩？正确的成绩查询渠道是什么？', '上海教育考试院能查成绩吗？', '作为上海地区的考生，如果想查询考试成绩，是否可以通过上海教育考试院的平台进行查询？若不能，应该通过哪个具体网站获取成绩信息？', '哎，成绩到底是在上海教育考试院查还是得去别的地方啊？']","['如何查询同等学力全国统一考试的成绩？', '硕士学位外国语水平考试成绩可以在哪里查到？', '中国教育考试网是查询考试成绩的官方渠道吗？']",935
自学考试,自学考试,结果篇,问：对于成绩不认可，怎样申请复核？么时候可以申请成绩复核？答：考生应在中国教育考试网申请成绩复核。请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['(自考, 申请成绩复核渠道, 中国教育考试网)', '(成绩复核, 申请平台, 中国教育考试网)', '(中国教育考试网, 提供成绩复核服务, 同等学力人员申请硕士学位外国语水平考试)', '(中国教育考试网, 发布信息, 学科综合水平全国统一考试)']",936,"['如何申请成绩复核？具体的申请时间和流程是怎样的？', '成绩复核申请方式及时间？', '如果对考试成绩有异议，应该如何申请成绩复核？申请的具体步骤包括哪些？需要在什么时间段内提交申请？有哪些官方渠道可以获取最新信息？', '成绩如果不满意，该怎么申请复核啊？有没有具体的时间限制？']","['成绩复核应该通过哪个平台提交申请？', '在哪里可以查看同等学力考试成绩复核的具体时间？', '申请学科综合水平考试成绩复核的官方渠道是什么？']",936
自学考试,自学考试,报名篇,问：自学考试每年举办几次？答：上海市高等教育自学考试一般在每年4月、10月各举行一次统一考试。具体考试安排请关注“上海招考热线”网站（www. shmeea. edu. cn）—首页—自学考试—考试日程相关内容。每次考试一般安排在周六、周日。通常提前半年公告下一次考试各专业各课程的考试日程安排。注：2024年上半年考试安排在4月13日；4月14日；4月20日；下半年考试安排在11月28日；10月29日；11月4日。,[],937,"['上海市高等教育自学考试每年的举办次数是多少？', '上海自考一年考几次？', '上海市的自学考试具体安排在哪些月份？每次考试持续几天？如何查询最新考试日程？', '有没有人知道上海的自学考试一年有几次呀？具体是几月份考？']","['上海的高等教育自学考试通常在每年的哪几个月举行？', '自学考试的考试日期一般安排在周末的哪几天？', '如何查询上海市自学考试的最新日程安排？']",937
自学考试,自学考试,报名篇,问：上海有哪些自学考试主考高校？开设哪些专业？答：2023年上海市共有17所主考高校，开设54个本专科专业。详细情况请关注“上海招考热线”网站（www.shmeea.edu.cn） 首页— 自学考试—政策法规“上海市高等教育自学考试专业分类表（2023年）”注：2023年自学考试专业分类表：https://www.shmeea.edu.cn/download/20230303/101.pdf。,"['(上海市主考高校, 开设, 本专科专业)']",938,"['上海市2023年有哪些高校担任自学考试的主考单位？各主考高校开设了哪些本专科专业？', '上海自考主考高校及专业？', '2023年上海市共有多少所主考高校参与自学考试？这些高校分别开设了哪些本专科专业？如何查询具体的专业分类和对应高校信息？', '上海这边自考的话，都有哪些大学可以选啊？专业多不多？哪里能查到详细的名单？']","['2023年上海市自学考试的主考高校有多少所？', '上海市自考本专科专业的总数是多少？', '哪里可以查到2023年上海自考专业分类表的官方信息？']",938
