问题,来源,考试类型
填报名额分配到区志愿时，最多可以填报几所学校？,829,['中考中招_中考中招']
选择名额分配到区的外区学校需注意哪些事项？,829,['中考中招_中考中招']
如果被名额分配到区志愿录取，后续志愿如何处理？,829,['中考中招_中考中招']
哪些学生有资格填报名额分配到校招生志愿？,830,['中考中招_中考中招']
名额分配到校的志愿最多可以填几个？,830,['中考中招_中考中招']
志愿栏内允许填报哪些类型的市实验性示范性高中？,830,['中考中招_中考中招']
如何查询所在区的高中名额分配到校招生信息？,831,['中考中招_中考中招']
学生可以通过什么资料了解当年度分配到校的招生学校？,831,['中考中招_中考中招']
想了解所在区的招生计划，应该查阅哪个机构提供的材料？,831,['中考中招_中考中招']
哪些学生无法填报名额分配到校志愿？,832,['中考中招_中考中招']
名额分配到校志愿的录取顺序如何？,832,['中考中招_中考中招']
被名额分配到校志愿录取后，后续志愿是否还有效？,832,['中考中招_中考中招']
统一招生录取中的主要志愿部分允许学生填报多少个学校？,833,['高考学考_秋考']
在统一招生中，学生最多可以填报多少个高中和中职校志愿？,833,['中考中招_中考中招']
中考志愿填报的15个选项属于什么类型的招生计划？,833,['中考中招_中考中招']
如何查询所在区的15个平行志愿招生学校信息？,834,['中考中招_中考中招']
高中阶段招生计划书里包含哪些志愿填报的相关内容？,834,['中考中招_中考中招']
在哪里能找到本年度各区的招生学校及志愿填报计划？,834,['中考中招_中考中招']
1至15志愿栏最多允许填报多少个志愿？,835,['高考学考_秋考']
填报志愿时应如何安排学校的顺序？,835,['高考学考_秋考']
学生在填报志愿时需要依据哪些条件进行选择？,835,['高考学考_秋考']
学生在什么阶段可以填报征求志愿？具体流程是什么？,836,['高考学考_秋考']
未被录取的学生如何通过征求志愿继续参与招生录取？,836,['高考学考_秋考']
区招考机构是如何根据征求志愿进行投档的？,836,['高考学考_秋考']
征求志愿阶段可能补录的学校类型包括哪些？,837,['高考学考_秋考']
民办高中国际课程班在哪个阶段可以补录未录取的学生？,837,['中考中招_中考中招']
考生如何查询自己所在区未完成招生计划的学校名单？,837,['中考中招_中考中招']
区级优秀体育学生的招生工作由哪些部门具体负责？,838,['高考学考_体育类统一考试']
区级优秀体育学生可以报考哪些类型的高中？,838,['中考中招_中考中招']
被区实验性示范性高中录取的区级优秀体育学生，学业考试成绩需达到什么标准？,838,['中考中招_中考中招']
区级艺术骨干学生的招生工作由哪个部门负责组织？,839,['高考学考_艺术类统一考试']
区级艺术骨干学生的招生学校范围包括哪些类型的高中？,839,['高考学考_艺术类统一考试']
报考区级艺术骨干学生的学业考试成绩需要达到什么标准？,839,['高考学考_高中学业水平考试']
通过资格确认的区级优秀体育学生应在哪个网站填报志愿？,840,['高考学考_体育类统一考试']
区级优秀艺术骨干学生最多可以填报几个志愿？,840,['高考学考_艺术类统一考试']
学业考试结束后，区级优秀学生填报志愿的具体流程是什么？,840,['高考学考_高中学业水平考试']
上海中招中哪些考生可以享受政策性加分？,841,['中考中招_中考中招']
上海中招中哪些情况可以加20分？,841,['中考中招_中考中招']
上海中招中的同分优待政策适用于哪类考生？,841,['中考中招_中考中招']
2023年上海市高中招生中，烈士子女的加分分值是多少？由哪个部门出具证明材料？,842,['中考中招_中考中招']
烈士子女在上海高中阶段招生可享受多少分的加分？证明材料需通过什么单位办理？,842,['中考中招_中考中招']
上海市2023年高中招生的加分政策中，烈士子女的加分额度及审核单位分别是什么？,842,['中考中招_中考中招']
2023年上海中考中，服役于三类及以上艰苦边远地区的军人子女可享受多少分的加分？其资格证明需由哪个单位开具？,843,['中考中招_中考中招']
上海高中招生政策中，哪类军人子女能获得20分加分？该加分所需的证明材料由哪个机构认证？,843,['中考中招_中考中招']
在2023年上海市中考加分政策里，艰苦边远地区三类及以上的现役军人子女加分分值及认证部门分别是什么？,843,['中考中招_中考中招']
2023年上海市中考中，现役二类及以上岛屿驻军军人子女可加多少分？证明由哪个单位出具？,844,['中考中招_中考中招']
在2023年上海高中招生时，现役二类以上岛屿部队军人子女的加分额度及其证明单位分别是什么？,844,['中考中招_中考中招']
哪类军人子女在2023年上海高中阶段招生中可获20分加分，且需由上海警备区政治工作局开具证明？,844,['中考中招_中考中招']
2023年上海中考中，驻藏部队现役军人子女的加分分值是多少，需由哪个单位出具证明？,845,['中考中招_中考中招']
西藏自治区现役军人子女参加2023年上海市高中招生时，其加分政策及证明部门是什么？,845,['中考中招_中考中招']
在上海市2023年高中阶段招生中，西藏驻军现役军人子女的加分额度是多少？相关证明应通过哪个机构办理？,845,['中考中招_中考中招']
2023年上海市中考中，从事飞行、潜艇等高危岗位的现役军人子女可享受多少加分？其资格认证由哪个部门负责？,846,['中考中招_中考中招']
上海市2023年高中招生政策中，哪些特殊职业军人子女的加分分值为20分？证明文件需哪个单位出具？,846,['中考中招_中考中招']
上海警备区政治工作局负责审核哪类军人子女的中考加分申请？对应的加分分值是多少？,846,['中考中招_中考中招']
2023年上海市中考现役军人子女可享受多少分的加分？,847,['中考中招_中考中招']
现役作战部队军人子女在上海高中招生中需由哪个单位开具加分证明？,847,['中考中招_中考中招']
2023年上海高中阶段招生中，现役军人子女的加分政策及负责证明的机构是什么？,847,['中考中招_中考中招']
2023年上海中考中，现役一、二类艰苦边远地区或三类岛屿部队军人子女的加分分值及出具证明的机构是什么？,848,['中考中招_中考中招']
哪些军人子女在2023年上海市高中阶段招生可享受10分加分政策，且需要由哪个单位提供证明材料？,848,['中考中招_中考中招']
2023年上海市对特定艰苦地区服役的军人子女中考加分是多少分，证明由哪个部门负责？,848,['中考中招_中考中招']
2023年上海中考中，因公牺牲军人子女的加分分值是多少？,849,['中考中招_中考中招']
在上海市高中招生政策中，哪个单位负责出具因公牺牲军人子女的加分资格证明？,849,['中考中招_中考中招']
因公殉职军人子女在2023年上海市中考可享受的加分是多少分，由哪个机构认证？,849,['中考中招_中考中招']
2023年上海中考中，一至四级残疾军人子女可享受的加分分值及证明机构是什么？,850,['中考中招_中考中招']
在上海市高中阶段招生中，哪类军人子女可申请10分加分？该加分的证明材料需由哪个部门出具？,850,['中考中招_中考中招']
2023年上海高中入学政策中，一至四级伤残军人子女的加分标准是多少？应由哪个单位提供相关证明？,850,['中考中招_中考中招']
2023年上海中考中，现役军人子女在何种立功情形下可享受加分政策？具体分值和认证机构是什么？,851,['中考中招_中考中招']
战时获三等功或平时获二等功的军人子女，在2023年上海市高中招生中能获得多少加分？证明材料由哪个单位出具？,851,['中考中招_中考中招']
2023年上海市对现役军人子女的中考加分政策中，符合立功条件的加分额度及证明单位分别是什么？,851,['中考中招_中考中招']
2023年上海高中阶段招生中，因公牺牲消防救援人员子女的加分分值是多少？哪些单位负责开具相关证明？,852,['中考中招_中考中招']
在上海市2023年中考政策中，一至四级因公伤残消防救援人员子女的加分是多少分？证明需由哪些部门提供？,852,['中考中招_中考中招']
英雄模范消防救援人员子女参加2023年上海高中招录时，可加多少分？该加分资格的认证单位是哪里？,852,['中考中招_中考中招']
2023年上海高中招生中，在职消防救援人员驻边远艰苦地区子女的加分分值是多少，由哪个单位出具证明？,853,['中考中招_中考中招']
上海市消防救援总队负责证明的2023年高中招生加分政策中，边远地区消防救援人员子女可加多少分？,853,['中考中招_中考中招']
2023年上海市中考对驻艰苦边远地区的消防救援人员子女的照顾政策加分是多少？证明单位是哪里？,853,['中考中招_中考中招']
2023年上海高中阶段招生中，公安英模子女的加分分值是多少？开具其身份证明的机构是哪个？,854,['中考中招_中考中招']
在上海市2023年高中招生中，公安一、二级英雄模范子女的加分资格需要由哪个单位出具证明？加分幅度是多少？,854,['中考中招_中考中招']
2023年上海市中考中，公安系统一级和二级英雄模范的子女可享多少加分？该加分材料由什么部门认证？,854,['中考中招_中考中招']
2023年上海中考中，公安烈士子女可享受的加分分值是多少？其证明材料应由哪个机构开具？,855,['中考中招_中考中招']
因公殉职民警子女在上海市高中招生时能获得多少分的加分？证明单位是哪里？,855,['中考中招_中考中招']
2023年上海高中招考中，牺牲民警子女的加分政策是什么？具体分值和认证部门如何规定？,855,['中考中招_中考中招']
2023年上海市中考中，一至四级伤残的公安民警子女可享受多少加分，需由什么单位出具证明？,856,['中考中招_中考中招']
在2023年上海高中招生中，公安民警因残疾（一至四级）导致子女加分的具体分值和认证机构是什么？,856,['中考中招_中考中招']
上海市2023年高中阶段学校招生对伤残等级为一至四级的民警子女有哪些加分政策？证明单位是哪里？,856,['中考中招_中考中招']
2023年上海市中考中，归侨子女和华侨国内子女可享受的加分分值及证明开具单位是什么？,857,['中考中招_中考中招']
华侨在国内的子女报考上海高中阶段学校时，2023年的加分政策规定加多少分，需由哪个部门出具证明？,857,['中考中招_中考中招']
归侨青少年在2023年上海高中招生中能获得多少加分？其证明需向哪个机构申请？,857,['中考中招_中考中招']
2023年上海高中招生中，少数民族学生能获得多少分的加分？需要哪些材料作为身份证明？,858,['中考中招_中考中招']
在上海市高中阶段招生中，少数民族考生需提供什么证件来申请加分？加分的分值是多少？,858,['中考中招_中考中招']
2023年上海中考少数民族加分政策中，证明学生身份的材料有哪些？加分额度是多少？,858,['中考中招_中考中招']
2023年上海高中招生中，台湾省学生的加分分值是多少，需由哪个机构提供证明材料？,859,['中考中招_中考中招']
台湾省籍学生在2023年上海中考加分政策中能加多少分，证明材料应由什么单位开具？,859,['中考中招_中考中招']
针对台湾省学生，2023年上海市高中招生的加分政策及其认证部门分别是什么？,859,['中考中招_中考中招']
2023年上海中考中，符合国外连续居住5年且处于国内语言适应期的留学回国人员随归子女可获加分是多少？由哪个单位开具证明？,860,['中考中招_中考中招']
留学人员随归子女申请2023年上海高中招生加分需满足哪些条件？对应的加分分值及认证部门是什么？,860,['中考中招_中考中招']
上海市对留学回国人员随归子女的中考加分政策中，国外生活满5年且处于3年适应期的学生能加几分？证明由哪里提供？,860,['中考中招_中考中招']
2023年上海市中考中，满足国外连续生活5年及适应期条件的留学人员随归子女可获多少加分？其认证机构是哪个单位？,861,['中考中招_中考中招']
持有效《上海市海外人才居住证》的留学人员随归子女，若在国外生活满5年且处于适应期内，2023年中考能加多少分？证明由哪个部门出具？,861,['中考中招_中考中招']
上海市对符合海外人才居住证要求的随归子女在中考中有何加分政策？具体加分值和负责认证的部门分别是什么？,861,['中考中招_中考中招']
2023年上海市高中招生中，现役军人及消防救援人员子女可享受什么录取政策，需由哪些单位出具证明？,862,['中考中招_中考中招']
上海中考对现役军人和在职消防救援人员子女的同分优待政策是什么？相关证明的出具单位是哪两个？,862,['中考中招_中考中招']
哪些考生在2023年上海高中阶段招生中可申请同分优待？其证明需由什么机构提供？,862,['中考中招_中考中招']
2023年中招政策性照顾加分申请的截止日期是什么时候？,863,['中考中招_中考中招']
如果符合多项中招加分政策，能否叠加享受？,863,['中考中招_中考中招']
中招加分资格公示的具体要求有哪些？,863,['中考中招_中考中招']
上海随迁子女被中职校录取时为何不按填报专业分配？,864,['中考中招_中考中招']
普通中职校录取随迁子女时如何进行专业分班？,864,['中考中招_中考中招']
随迁子女进入中职校后专业与填报不符的依据是什么？,864,['高考学考_中职校学业水平考试']
报考硕士研究生需要满足哪些基本资格条件？,865,['研考成考_研究生招生考试']
哪些学历背景的人员可以申请参加硕士研究生考试？,865,['研考成考_研究生招生考试']
以同等学力身份报考硕士研究生的条件是什么？,865,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
硕士研究生考试的报名阶段如何划分？,866,['研考成考_研究生招生考试']
2024年考研的预报名和正式报名时间分别是哪天？,866,['研考成考_研究生招生考试']
网上信息确认的截止日期是什么时候？,866,"['研考成考_研究生招生考试', '研考成考_成人高考']"
非上海市高校的应届毕业生报名需要提交哪些额外材料？,867,['研考成考_研究生招生考试']
网上确认时需要配合完成哪些流程和材料提交？,867,"['研考成考_研究生招生考试', '研考成考_成人高考']"
非上海户籍的考生需要提供什么社保相关证明？,867,['中考中招_中考中招']
上海市少数民族高层次骨干人才计划考生在哪里查看报考指南？,868,['研考成考_研究生招生考试']
少数民族高层次骨干人才计划研究生的备案时间是什么时候？,868,['研考成考_研究生招生考试']
如何获取上海市硕士研究生少数民族骨干计划的最新报考要求？,868,['研考成考_研究生招生考试']
上海地区报考少数民族高层次骨干人才计划的考生应通过什么途径上传备案材料？,869,['研考成考_研究生招生考试']
少数民族骨干计划考生备案通过后，如何完成后续报名步骤？,869,['研考成考_研究生招生考试']
备案材料未在规定时间内上传会怎样？需要关注哪个平台的通知？,869,[]
报考材料审核超过3天未收到反馈，应通过什么方式联系咨询？,870,[]
少数民族骨干计划备案结果长时间未反馈，如何查询进度？,870,['研考成考_研究生招生考试']
材料审核延迟超过三个工作日，咨询电话号码是多少？,870,[]
网上确认提交的材料被驳回应该怎么处理？,871,"['高考学考_其他考试—专升本考试', '研考成考_研究生招生考试', '研考成考_成人高考']"
如果考生材料审核未通过，应该怎么做？,871,[]
网上确认时材料审核未通过需要如何配合报考点？,871,['研考成考_研究生招生考试']
参加初试和复试需要准备哪些材料？,872,['研考成考_研究生招生考试']
研招网下载准考证需要提供什么信息？,872,['研考成考_研究生招生考试']
打印准考证时有哪些格式要求？,872,[]
如何查询全国硕士研究生招生考试成绩？,873,['研考成考_研究生招生考试']
2023年考研成绩的公布时间是什么时候？,873,['研考成考_研究生招生考试']
在哪里能找到研究生招生考试成绩公布的官方公告？,873,['研考成考_研究生招生考试']
考研成绩的查询方式如何获取？,874,['研考成考_研究生招生考试']
怎样查看研究生入学考试的成绩？,874,['研考成考_研究生招生考试']
研究生招生考试成绩应该通过什么渠道查询？,874,['研考成考_研究生招生考试']
上海研究生考试成绩复核的网上申请渠道是什么？,875,['研考成考_研究生招生考试']
2023年硕士研究生统考科目成绩复核的办理时间是什么时候？,875,['研考成考_研究生招生考试']
自命题科目的研究生考试成绩复核应该怎么操作？,875,['研考成考_研究生招生考试']
哪里可以查到研究生成绩复核的申请时间？,876,['研考成考_研究生招生考试']
2023年研究生考试复核申请的截止时间是什么时候？,876,['研考成考_研究生招生考试']
上海研考成绩复核的申请时间段是几点到几点？,876,['研考成考_研究生招生考试']
如何查询研究生考试的历史成绩？,877,['研考成考_研究生招生考试']
考试院官网能查到往年的考研成绩吗？,877,['研考成考_研究生招生考试']
往届研究生考试成绩是否可以通过官方渠道查询？,877,['研考成考_研究生招生考试']
哪些情况下报考费不予退还？,878,[]
重复缴费的考生能否获得退费？,878,[]
退费后款项会退回至哪个账户？,878,[]
"""研究生报名费电子票据如何通过电脑端申请？""",879,['研考成考_研究生招生考试']
"""在随申办上怎么获取研究生报名缴费的票据？""",879,['研考成考_研究生招生考试']
"""研究生报名费用的财政电子票据开具途径有哪些？""",879,['研考成考_研究生招生考试']
成人高等学历教育分为哪几种类型？,880,['研考成考_成人高考']
报考成人高校需要满足哪些条件？,880,['研考成考_成人高考']
全国成人高校统一招生考试通常在什么时间进行？,880,['研考成考_成人高考']
成人高考属于国家教育考试体系吗？,881,['研考成考_成人高考']
国家教育考试是否包含成人高考？,881,['研考成考_成人高考']
成人高考的考试类型是国家级别的吗？,881,['研考成考_成人高考']
自考和成人高考的学习方式有什么不同？,882,"['自学考试_自学考试', '研考成考_成人高考']"
成人高考和自考每年分别有几次考试？,882,"['研考成考_成人高考', '自学考试_自学考试']"
成人高考与自考的毕业证书类型有何区别？,882,"['研考成考_成人高考', '自学考试_自学考试']"
上海成人高考专升本的具体学历要求是什么？,883,"['研考成考_成人高考', '高考学考_其他考试—专升本考试']"
非本市户籍人员能否在上海报考成人高考？,883,['研考成考_成人高考']
报考上海成人高考护理学专业需要提供哪些证书？,883,['研考成考_成人高考']
如何查询上海成人高考的招生院校及对应专业？,884,['研考成考_成人高考']
2023年上海专升本成人高考的专业目录在哪里下载？,884,"['研考成考_成人高考', '高考学考_其他考试—专升本考试']"
哪里能获取上海成考高起本、高起专、专升本各层次的专业招生信息？,884,['研考成考_成人高考']
如何查询上海市成人高校招生的咨询电话和地址？,885,['研考成考_成人高考']
想了解上海成考院校的联系方式，应该通过什么途径获取？,885,['研考成考_成人高考']
上海招考热线网站中哪个栏目可以找到成人高校的报名咨询电话表？,885,['研考成考_成人高考']
如何查询上海市成人高考的报名时间？,886,['研考成考_成人高考']
2023年上海成人高考的报名日期是什么时候？,886,['研考成考_成人高考']
成人高考每天的报名时间段是几点到几点？,886,['研考成考_成人高考']
上海成人高考的报名流程是怎样的？,887,['研考成考_成人高考']
如何在线完成上海市成人高考的报名？,887,['研考成考_成人高考']
报名上海成人高考需要签署哪些文件？,887,['研考成考_成人高考']
审核不通过后是否需要重新提交材料？,888,[]
2023年成人高考的资格审核时间具体是哪几天？,888,['研考成考_成人高考']
考生的材料审核由哪个单位负责？,888,[]
如果人证比对未通过，考生需要采取什么措施？,889,[]
成考报名后复核材料的截止时间是什么时候？,889,['研考成考_成人高考']
2023年成人高考现场复核材料的具体时间段是哪几天？,889,['研考成考_成人高考']
上海成人高考缴费的官方网站是哪个？,890,['研考成考_成人高考']
2023年成人高考的缴费具体时段是哪两天？,890,['研考成考_成人高考']
报名审核通过后，考生需在何时完成缴费才有效？,890,[]
成人高考能否补报名？,891,['研考成考_成人高考']
如果错过成人高考报名时间，还有补报机会吗？,891,['研考成考_成人高考']
成人考试允许补报名吗？,891,['研考成考_成人高考']
如何查询成人高考最新的复习考试大纲？,892,['研考成考_成人高考']
全国成人高考的考纲下载途径是什么？,892,['研考成考_成人高考']
2020年版的成人高考考试大纲在哪个网站可以找到？,892,['研考成考_成人高考']
成人高考通常在每年的哪个月份举行？,893,['研考成考_成人高考']
2023年的成人高考考试时间是什么时候？,893,['研考成考_成人高考']
谁负责安排成人高考的考试时间？,893,['研考成考_成人高考']
成考专升本的两门公共课科目是什么？,894,['研考成考_成人高考']
成考外语考试允许考生选择哪些语种？,894,['研考成考_成人高考']
艺术类和体育类成考专业是否需要加试？若需要，由谁组织考试？,894,['研考成考_成人高考']
各考试科目的满分是多少分？,895,[]
高起本、高起专和专升本的考试时间分别是多长？,895,"['高考学考_其他考试—专升本考试', '研考成考_成人高考']"
不同层次考试的每科满分是否有差异？,895,[]
成考中哪些荣誉或称号可以获得额外加分？,896,['研考成考_成人高考']
年满25周岁的考生在成考中是否有加分政策？,896,['研考成考_成人高考']
成考的加分政策允许同时享受多项照顾分数吗？,896,['研考成考_成人高考']
哪些人员可以申请成人高考免试入学？,897,['研考成考_成人高考']
申请成人专升本免试需要提供哪些证明材料？,897,"['研考成考_成人高考', '高考学考_其他考试—专升本考试']"
运动员申请免试成人高考需满足什么条件？,897,['研考成考_成人高考']
成人高校单考单招针对哪些人群？,898,['研考成考_成人高考']
单考单招的考试形式和录取规则是什么？,898,['高考学考_专科自主招生']
哪些类型的招生院校会组织单独的文化考试？,898,"['高考学考_专科自主招生', '高考学考_三校生高考']"
上海成人高考准考证如何下载？具体下载时间段是什么？,899,['研考成考_成人高考']
2023年成考准考证的下载入口和时间安排是怎样的？,899,['研考成考_成人高考']
上海招考热线网站的准考证下载链接开放到什么时候？每天的开放时段是几点？,899,[]
在哪里可以查询上海市成人高考的考场规则和答题注意事项？,900,['研考成考_成人高考']
如何避免在成人高校招生考试中出现违规行为？,900,['研考成考_成人高考']
参加上海成人高考需要提前下载哪些考试相关文件？,900,['研考成考_成人高考']
考生迟到超过多少分钟将被禁止进入考场？,901,[]
考试结束前多久考生不得提前交卷离场？,901,[]
考生最晚可以在考试开始后多长时间内进入考场？,901,[]
哪些证件可以作为考试入场的有效身份证明？,902,[]
电子身份证能用来进入考场吗？,902,[]
如果身份证丢失，考生需要准备什么替代证件参加考试？,902,[]
成人高考的高起本数学考试允许带计算器吗？,903,['研考成考_成人高考']
哪些成人高考数学科目能携带非电子存储型计算器？,903,['研考成考_成人高考']
高起专数学考试对计算器使用有什么限制？,903,['研考成考_成人高考']
考生是否允许携带智能手表参加考试？,904,[]
考场上可以带蓝牙耳机吗？,904,['证书考试_全国大学英语四、六级考试（CET)']
智能手环能否带入考场？,904,[]
残疾考生申请合理便利后，轮椅和助听器等设备能否顺利通过考场安检？,905,"['高考学考_秋考', '中考中招_中考中招']"
人工耳蜗、拐杖等辅助工具在高考安检时会被限制携带吗？,905,['高考学考_秋考']
需要特殊帮助的考生携带的轮椅或助听器是否会被安检禁止进入考场？,905,[]
考生因身体条件不便需要特殊考试安排，该联系哪个部门？,906,[]
如何申请高考期间的健康问题特殊协助？,906,['高考学考_秋考']
有特殊身体情况的考生应该提前向哪里报备？,906,[]
在上海已报名成人高考后，能否同时在另一个省份重复报名？,907,['研考成考_成人高考']
如果考生已在上海完成报名，因故无法返沪考试，是否可以申请异地参加其他省份的成人高考？,907,['研考成考_成人高考']
上海市是否允许考生在同一年度跨省市报考成人高考？,907,['研考成考_成人高考']
如何在线查询上海成人高考成绩？,908,['研考成考_成人高考']
2022年上海市成人高考成绩何时开放查询？,908,['研考成考_成人高考']
查询上海成人高考成绩需要哪些登录凭证？,908,['研考成考_成人高考']
成考准考证和报名信息都遗失了，应该通过什么方式查询成绩？,909,['研考成考_成人高考']
如果无法提供准考证号或报名号，如何获取成人高考成绩？,909,['研考成考_成人高考']
考生忘记所有报名信息时，如何解决成考成绩查询问题？,909,['研考成考_成人高考']
如何申请上海成人高考成绩复核？,910,['研考成考_成人高考']
2022年上海成考成绩复核的申请截止时间是几点？,910,['研考成考_成人高考']
上海成人高考成绩复核的申请途径是什么？,910,['研考成考_成人高考']
成绩复核的主要检查项目有哪些？,911,[]
申请复核后是否会重新批改我的试卷？,911,[]
复核结果会提供哪些具体信息给考生？,911,[]
成人高考的志愿填报分几次进行？,912,['研考成考_成人高考']
报考高起本的考生最多能填多少个本科和专科志愿？,912,['研考成考_成人高考']
艺术类和体育类专业在填报志愿时有什么特别规定？,912,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
上海成人高校招生的最低录取控制线在哪里查询？,913,['研考成考_成人高考']
如何查看上海市成考招生的最低分数线标准？,913,['研考成考_成人高考']
上海招考热线网站中哪个栏目会公布成人高校最低录取分数？,913,['研考成考_成人高考']
专业科类的兼容是如何体现的？,914,[]
哪些科类的专业可以兼容？,914,[]
高起本考生能报考哪些科类的专业？,914,['研考成考_成人高考']
如何查询上海成人高校招生的具体专业信息？,915,['研考成考_成人高考']
高起本的专业目录文件在哪里下载？,915,['研考成考_成人高考']
2023年上海成考不同层次（高起专、专升本等）的专业目录如何获取？,915,['研考成考_成人高考']
成人高考是否会有补录的机会吗？,916,['研考成考_成人高考']
成人高考允许考生在录取后补报志愿吗？,916,['研考成考_成人高考']
成人高考有没有设置志愿征集环节？,916,['研考成考_成人高考']
哪些专业在征求志愿时可能获得降分录取？,917,['高考学考_秋考']
降分投档的最大幅度是多少？,917,['高考学考_秋考']
在什么情况下某些专业可以降分投档？,917,['高考学考_秋考']
2022年高起专征求志愿的具体填报日期是什么时候？,918,['研考成考_成人高考']
上海招考热线的志愿填报入口路径是什么？,918,['中考中招_中考中招']
专升本和高起本的征求志愿填报是在哪一天的几点进行的？,918,"['高考学考_其他考试—专升本考试', '研考成考_成人高考']"
成人高考新生入学时需要核验哪些材料和身份信息？,919,['研考成考_成人高考']
专升本新生在入学后需通过哪些资格审查？,919,['高考学考_其他考试—专升本考试']
非上海户籍的成人高考新生需满足什么条件才能注册学籍？,919,['研考成考_成人高考']
考生在录取结束前发现姓名变更了，能修改报名信息吗？,920,['高考学考_秋考']
如果报名后需要更改姓名，应该通过什么渠道处理？,920,[]
录取期间身份信息发生变动，什么时候可以申请修改？,920,['高考学考_秋考']
上海地区成人高考录取信息有哪些官方查询途径？,921,['研考成考_成人高考']
如何查找上海成人高考的录取结果？,921,['研考成考_成人高考']
是否可以通过微信公众号查询上海成考相关资讯？,921,['研考成考_成人高考']
录取通知书何时发放？需要联系哪里获取信息？,922,[]
如果想知道录取通知书的寄送时间，应该向谁咨询？,922,[]
录取结束后，多久能收到通知书？如何查询相关安排？,922,[]
成人高校的学位证书授予条件由谁决定？,923,['研考成考_成人高考']
不同成人高校的学位申请条件是否一致？,923,['研考成考_成人高考']
如何查询某所成人高校的学位授予具体要求？,923,['研考成考_成人高考']
如何查询2008年之后的成人高考历史成绩？,924,['研考成考_成人高考']
上海地区的成人高考成绩证明可以通过哪些线上渠道办理？,924,['研考成考_成人高考']
在哪里能找到上海市教育考试院申请成绩证明的操作指南？,924,[]
报考资格需要符合哪些具体规定？,925,[]
哪些方面的要求需参照学位办2023年4号通知？,925,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
2023年同等学力考试报考条件的依据是什么？,925,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
哪里能查询到同等学力全国统考的最新报名公告？,926,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
2023年的同等学力考试报名是什么时候进行的？,926,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
报名参加外国语水平考试的时间段是什么？,926,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
全国同等学力考试的报名入口是哪个网站？,927,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
符合报考条件的考生应该如何注册考试？,927,[]
如何在线报名全国同等学力外国语水平考试？,927,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
在哪里能查询到同等学力全国统考的具体考试时间？,928,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
2023年的同等学力考试是什么时候举行的？,928,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
如何确认考试的具体日期？准考证上会有相关信息吗？,928,[]
准考证下载时间需要通过什么渠道查询？,929,[]
在哪里能获取全国统考准考证下载的通知？,929,"['证书考试_全国大学英语四、六级考试（CET)', '证书考试_全国中小学教师资格考试笔试', '证书考试_全国计算机等级考试（NCRE)', '研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']"
考生应如何查询准考证下载的相关信息？,929,[]
考试包括哪些内容？,930,[]
考试的组成部分有哪些？,930,[]
考试分为哪两个部分？,930,[]
参加考试需要携带哪些证件进行验证？,931,[]
进入考场需要准备什么身份证明材料？,931,[]
考生入场时必须出示什么凭证？,931,[]
考生迟到多久后将无法进入考场？,932,[]
考试开始后，最晚允许迟到考生入场的时间是多久？,932,[]
考场禁止迟到的考生进入的具体时间限制是什么？,932,[]
哪些科目允许携带绘图仪器和电子计算器？,933,"['高考学考_秋考', '中考中招_中考中招']"
考试中允许使用的计算器需要具备什么功能？,933,['高考学考_秋考']
哪些电子设备在考试中是被明确许可的？,933,[]
考试成绩的查询渠道在哪里查看？,934,[]
如何获取同等学力全国统考的成绩发布时间？,934,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
考生应该通过什么途径了解成绩公布信息？,934,[]
如何查询同等学力全国统一考试的成绩？,935,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
硕士学位外国语水平考试成绩可以在哪里查到？,935,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
中国教育考试网是查询考试成绩的官方渠道吗？,935,[]
成绩复核应该通过哪个平台提交申请？,936,[]
在哪里可以查看同等学力考试成绩复核的具体时间？,936,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
申请学科综合水平考试成绩复核的官方渠道是什么？,936,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
上海的高等教育自学考试通常在每年的哪几个月举行？,937,['自学考试_自学考试']
自学考试的考试日期一般安排在周末的哪几天？,937,['自学考试_自学考试']
如何查询上海市自学考试的最新日程安排？,937,['自学考试_自学考试']
2023年上海市自学考试的主考高校有多少所？,938,['自学考试_自学考试']
上海市自考本专科专业的总数是多少？,938,['自学考试_自学考试']
哪里可以查到2023年上海自考专业分类表的官方信息？,938,['自学考试_自学考试']
